player,team,games_played,mpg,ppg,rpg,apg,espn_id
Spencer Ezewiro,Kennesaw St.,20,5.6,0.5,1.7,0.3,5313557
Otega Oweh,Kentucky,34,32.4,18.2,4.6,2.6,5106270
Denzel Aberdeen,Kentucky,34,30.2,13.2,2.6,3.6,5105527
Collin Chandler,Kentucky,34,26.6,9.9,2.8,2.2,5238207
Mouhamed Dioubate,Kentucky,29,21.4,8.7,5.5,1.0,4895780
Malachi Moreno,Kentucky,34,22.8,8.0,6.4,1.8,5101849
Jaland Lowe,Kentucky,9,18.6,8.0,2.1,2.4,4684270
Kam Williams,Kentucky,22,18.9,6.2,2.3,1.0,4873183
Andrija Jelavic,Kentucky,30,15.8,5.8,3.9,0.6,5281347
Jasper Johnson,Kentucky,33,12.5,5.2,1.1,1.7,5095153
Jayden Quaintance,Kentucky,4,16.5,5.0,5.0,0.5,5101845
Brandon Garrison,Kentucky,34,15.8,4.6,3.9,1.1,4711306
Trent Noah,Kentucky,27,10.6,3.0,2.3,0.5,5175592
Zach Tow,Kentucky,7,1.1,0.6,0.0,0.0,5252266
Walker Horn,Kentucky,7,1.3,0.4,0.1,0.1,5105283
Elijah Tucker,LIU,32,26.3,12.5,6.8,1.1,4684309
Jacoi Hutchinson,LIU,31,28.4,12.3,3.3,3.2,4845378
Johan Nziemi,LIU,29,26.0,10.6,6.0,1.8,5175666
Redd Thompson Jr.,LIU,32,22.1,10.3,1.6,2.0,5101649
Emanuel Richards,LIU,32,25.9,9.7,3.4,1.1,5175665
Alphonzo Billups III,LIU,32,23.1,8.1,2.8,1.3,5106039
Jaylen Benard,LIU,32,19.9,7.3,3.7,0.9,5175669
Elijah Jones,LIU,27,17.3,3.9,3.6,0.7,5176811
Elijah Kelly,LIU,31,10.9,2.3,1.7,0.4,5313508
KJ McClurg,LIU,4,14.0,2.0,2.3,0.5,4701156
Jaylin Payne,LIU,29,7.9,1.8,1.7,0.2,5313511
Jerome Williams,LIU,10,4.5,1.2,0.2,0.5,5313512
Isaiah Kalala,LIU,15,3.3,0.9,0.8,0.1,5313509
Nasir Whitlock,Lehigh,34,34.9,21.0,3.5,3.4,5176076
Hank Alvey,Lehigh,34,30.7,15.0,6.9,2.1,5243042
Joshua Ingram,Lehigh,34,34.7,10.6,5.1,3.3,5176077
Edouard Benoit,Lehigh,23,28.4,10.3,6.0,1.0,5243039
Andrew Urosevic,Lehigh,28,18.9,7.3,1.3,0.6,5314503
Caleb Thomas,Lehigh,22,21.7,5.0,1.4,2.0,5314505
Peter Kramer,Lehigh,34,20.4,4.1,1.9,0.7,5243041
Jalen Vazquez,Lehigh,30,21.8,3.9,2.5,2.0,5314506
Alfredo Addesa,Lehigh,32,8.2,2.0,1.5,0.3,5243040
Jake Pike,Lehigh,17,9.6,1.3,1.9,0.2,5176078
Henri Adiassa,Lehigh,24,4.4,0.4,0.8,0.0,5105684
Tommy Conniff,Lehigh,15,3.9,0.3,0.6,0.3,5105685
Brendan Reed,Lehigh,11,0.9,0.0,0.2,0.0,5105682
Ryan Conwell,Louisville,32,30.6,18.7,4.8,2.5,5107157
Mikel Brown Jr.,Louisville,21,29.2,18.2,3.3,4.7,5101761
J'Vonne Hadley,Louisville,32,27.8,11.8,5.2,1.7,4702784
Isaac McKneely,Louisville,33,28.8,10.6,3.0,1.4,4712845
Sananda Fru,Louisville,33,22.0,9.2,6.0,1.3,5311967
