player,team,entry,seed,region,injury_status,in_tournament_injury,proj_rank,proj_ppg,proj_games,proj_total,actual_pts,actual_games,residual,pct_error,matched
Malik Thomas,Virginia,Grace & Pat,3,Midwest,HEALTHY,,58,13.5,2.79,37.7,23,2,-14.7,-39.0,1
Sam Lewis,Virginia,Grace & Pat,3,Midwest,HEALTHY,,85,10.8,2.79,30.2,17,2,-13.2,-43.7,1
Chance Mallory,Virginia,Rich,3,Midwest,HEALTHY,,107,9.5,2.79,26.6,12,2,-14.6,-54.8,1
Ugonna Onyenso,Virginia,Schlossbergs,3,Midwest,HEALTHY,,182,6.7,2.79,18.7,6,2,-12.7,-68.0,1
Jacari White,Virginia,Spike,3,Midwest,HEALTHY,,123,8.8,2.79,24.6,36,2,11.4,46.4,1
Johann Grunloh,Virginia,Spike,3,Midwest,HEALTHY,,164,7.2,2.79,20.1,10,2,-10.1,-50.3,1
Thijs De Ridder,Virginia,Spike,3,Midwest,HEALTHY,,50,14.5,2.79,40.5,32,2,-8.5,-21.0,1
John Blackwell,Wisconsin,Elizabeth,5,West,HEALTHY,,21,20.8,2.39,49.8,22,1,-27.8,-55.8,1
Nick Boyd,Wisconsin,Elizabeth,5,West,HEALTHY,,20,21.2,2.39,50.7,27,1,-23.7,-46.8,1
Austin Rapp,Wisconsin,John & Claire,5,West,HEALTHY,,131,9.6,2.39,23.0,12,1,-11.0,-47.7,1
Braeden Carrington,Wisconsin,John & Claire,5,West,HEALTHY,,157,8.4,2.39,20.1,5,1,-15.1,-75.1,1
Andrew Rohde,Wisconsin,Schlossbergs,5,West,HEALTHY,,273,5.7,2.39,13.6,6,1,-7.6,-56.0,1
Nolan Winter,Wisconsin,Spike,5,West,RETURNING,,92,12.4,2.39,29.7,8,1,-21.7,-73.0,1
